mp_id,meeting_count
1164,116
630,52
1166,104
1167,52
1160,101
1161,54
1162,123
631,44
704,64
705,52
557,73
707,60
1168,74
1169,88
1203,15
660,45
1211,11
1200,1
396,64
1208,1
678,51
1172,70
1199,9
656,86
690,53
658,56
1214,2
1171,48
694,39
1215,1
1159,110
730,89
679,35
650,103
1204,4
1018,3
1031,23
706,65
1012,69
688,65
1177,129
1176,127
1175,56
1174,59
1173,105
1158,101
719,58
1170,113
1201,1
1157,95
714,99
999,3
712,41
1179,77
1178,138
1165,86
708,48
124,11
1202,7
728,60
1001,1
1213,3
686,63
1188,3
1186,13
1187,1
1185,3
1180,104
1181,41
1212,7
1205,7
477,115
721,92
1209,2
934,40
683,89
