mp_id,total_meetings,attended_meetings
HarB,141,116
ÖJ,60,52
HHG,79,104
JMS,87,52
RM,66,48
ELA,79,54
FSigurj,143,123
ÖS,62,44
GStein,81,64
VBj,57,52
VigH,71,65
ÁsmD,133,60
JÞÓ,74,74
KG,129,88
KaJúl,88,45
KLM,83,64
ÁPÁ,84,51
BjÓ,122,101
HE,58,86
KJak,60,53
HHj,64,56
ÓP,64,48
RR,83,39
PVB,81,70
GÞÞ,135,86
SSv,83,89
BÁ,133,103
SigrM,56,40
SJS,89,73
BjG,69,69
JónG,73,65
VilB,146,129
VilÁ,137,127
ValG,77,56
SilG,75,59
BP,80,110
ÁÞS,72,35
OH,71,58
LínS,161,113
ÁsF,122,95
LRM,122,99
SII,50,41
ÞorS,72,77
WÞÞ,140,138
EKG,11,11
GuðbH,99,89
PJP,124,105
ÞórE,122,104
ElH,69,41
PHB,137,115
UBK,135,92
BN,114,101
HöskÞ,77,63
BirgJ,57,60
