Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
sjávarútvegs- og landbúnaðarráðherra, 18, 18, 31, 0, 0
dómsmálaráðherra, 31, 31, 57, 0, 0
félags- og jafnréttismálaráðherra, 23, 23, 41, 0, 0
utanríkisráðherra, 14, 9, 21, 5, 947
forsætisráðherra, 10, 9, 36, 1, 966
fjármála- og efnahagsráðherra, 42, 38, 45, 4, 952
samgöngu- og sveitarstjórnarráðherra, 28, 28, 36, 0, 0
heilbrigðisráðherra, 29, 29, 40, 0, 0
ferðamála-, iðnaðar- og nýsköpunarráðherra, 24, 23, 31, 1, 946
mennta- og menningarmálaráðherra, 38, 37, 33, 1, 952
umhverfis- og auðlindaráðherra, 27, 27, 38, 0, 0
forseti, 4, 3, 42, 1, 951
